aare	rivier in Zwitserland
aisne	rivier in Frankrijk
arno	rivier in Italië
biebzra	rivier in Polen
dnjepr	rivier in Oost-Europa
dnjestr	rivier in Oost-Europa
don	rivier in Rusland
donau	rivier in Oost-Europa
dordogne	rivier in Frankrijk
drau	rivier in Europa
dunajec	rivier in Polen
ebro	rivier in Spanje
eems	rivier in Duitsland
elbe	rivier in Duitsland
gironde	rivier in Frankrijk
iller	rivier in Duistland
inn	rivier in Oostenrijk
isar	rivier in Oostenrijk
isonzo	rivier in Italië
kama	rivier in Rusland
koeban	rivier in Rusland
lahn	rivier in Duitsland
lech	rivier in Duitsland
loire	rivier in Frankrijk
maas	rivier in Nederland
main	rivier in Duitsland
marne	rivier in Frankrijk
memel	rivier in Litouwen
mezen	rivier in Rusland
moezel	rivier in Duitsland
moldau	rivier in Tsjechië
morava	rivier in Servië
neckar	rivier in Duitsland
neva	rivier in Rusland
oder	rivier in Polen
oker	rivier in Duitsland
olt	rivier in Roemenië
onega	rivier in Rusland
po	rivier in Italië
proet	rivier in Oost-Europa
rhone	rivier in Frankrijk
ruhr	rivier in Duistland
rijn	rivier in Nederland
saale	rivier in Duitsland
schelde	rivier in België
seine	rivier in Frankrijk
severn	rivier in Groot Brittanië
siret	rivier in Oost-Europa
somes	rivier in Hongarije
spree	rivier in Duitsland
taag	rivier in Spanje
terek	rivier in Georgië
theems	rivier in Engeland
tiber	rivier in Italië
tyne	rivier in Engeland
warnow	rivier in Duitsland
wezer	rivier in Duitsland
wolga	rivier in Rusland
eufraat	rivier in het Midden-Oosten
jordaan	rivier in het Midden-Oosten
tigris	rivier in het Midden-Oosten
Kongo	rivier in Afrika
niger	rivier in Afrika
nijl	rivier in Afrika
hudson	rivier in de VS
yukon	rivier in Alaska
amazone	rivier in Zuid-Amerika
aa	rivier in Noord-Brabant
amstel	rivier in Noord-Holland
boorne	rivier in Friesland
dinkel	rivier in Overijssel
does	rivier in Zuid-Holland
dommel	rivier in Noord-Brabant
ee	rivier in Friesland
eem	rivier in Utrecht
geeuw	rivier in Friesland
geul	rivier in Limburg
gouwe	rivier in Zuid-Holland
gulp	rivier in Limburg
hunze	rivier in Groningen
ijssel	rivier in Nederland
kingbeek	rivier in Limburg
lauwers	rivier in Friesland
lek	rivier in Midden-Nederland
linde	rivier in Friesland
linge	rivier in de Betuwe
loet	rivier in Zuid-Holland
reest	rivier in Drenthe
regge	rivier in Overijssel
roer	rivier in Limburg
rotte	rivier in Zuid-Holland
schie	rivier in Zuid-Holland
spui	rivier in Zuid-Holland
vecht	rivier in Utrecht
vliet	kanaal in Zuid-Holland
vlist	rivier in Limburg
waal	rivier in Nederland
amsterdam	stad in Noord-Holland
rotterdam	stad in Zuid-Holland
utrecht	stad in Utrecht
eindhoven	stad in Noord-Brabant
tilburg	stad in Noord-Brabant
almere	stad in Flevoland
groningen	stad in Groningen
breda	stad in Noord-Brabant
nijmegen	stad in Gelderland
apeldoorn	stad in Gelderland
haarlem	stad in Noord-Holland
enschede	stad in Overijssel
arnhem	stad in Gelderland
amersfoort	stad in Utrecht
zaandam	stad in Noord-Holland
zwolle	stad in Overijssel
zoetermeer	stad in Zuid-Holland
leiden	stad in Zuid-Holland
leeuwarden	stad in Friesland
maastricht	stad in Limburg
dordrecht	stad in Zuid-Holland
ede	stad in Gelderland
alkmaar	stad in Noord-Holland
emmen	stad in Drenthe
delft	stad in Zuid-Holland
venlo	stad in Limburg
almelo	stad in Overijssel
texel	waddeneiland  
vlieland	waddeneiland  
ameland	waddeneiland  
terschelling	waddeneiland  
assen	stad in Drenthe
deventer	stad in Overijssel
gouda	stad in Zuid-Holland
goes	stad in Zeeland
heerlen	stad in Limburg
hengelo	stad in Overijssel
hilversum	stad in Noord-Holland
twente	regio in Overijssel
hoorn	stad in Noord-Holland
katwijk	plaats in Zuid-Holland
lelystad	stad in Flevoland
oss	stad in Noord-Brabant
roermond	stad in Limburg
schagen	stad in Noord-Holland
sittard	stad in Limburg
geleen	stad in Limburg
soest	plaats in Utrecht
sneek	stad in Friesland
urk	voormalig eiland  
zeist	stad in Utrecht
ijlst	stad in Friesland
stavoren	stad in Friesland
workum	stad in Friesland
franeker	stad in Friesland
dokkum	stad in Friesland
algiers	stad in Algarije
cairo	stad in Egypte
nairobi	stad in Kenia
rabat	stad in Marokko
dakar	stad in Senegal
kaapstad	stad in Zuid-Afrika
peking	stad in China
delhi	stad in India
tokio	stad in japan
hanoi	stad in Vietnam
seoul	stad in Zuid-Korea
brussel	stad in België
sofia	stad in Bulgarije
berlijn	stad in Duitsland
